Day,Supplier,Distribution_Center,Product_Category,Shipped_Volume,Received_Volume,Performance_Gap
0,S1,A,Meat,43,180.0,-137.0
0,S1,B,Meat,32,140.0,-108.0
0,S1,C,Meat,48,176.0,-128.0
0,S1,D,Meat,31,160.0,-129.0
0,S1,E,Meat,55,291.0,-236.0
0,S10,C,Dairy,60,442.0,-382.0
0,S10,D,Dairy,49,373.0,-324.0
0,S10,E,Dairy,115,765.0,-650.0
0,S11,C,Dairy,66,442.0,-376.0
0,S11,D,Dairy,58,373.0,-315.0
0,S11,E,Dairy,106,765.0,-659.0
0,S12,C,Dairy,54,442.0,-388.0
0,S12,D,Dairy,59,373.0,-314.0
0,S12,E,Dairy,103,765.0,-662.0
0,S13,A,Vegetables,89,816.0,-727.0
0,S13,B,Vegetables,72,765.0,-693.0
0,S13,E,Vegetables,123,1471.0,-1348.0
0,S14,A,Vegetables,86,816.0,-730.0
0,S14,B,Vegetables,69,765.0,-696.0
0,S14,E,Vegetables,153,1471.0,-1318.0
0,S15,A,Vegetables,80,816.0,-736.0
0,S15,B,Vegetables,76,765.0,-689.0
0,S15,E,Vegetables,142,1471.0,-1329.0
0,S16,A,Vegetables,74,816.0,-742.0
0,S16,B,Vegetables,75,765.0,-690.0
0,S16,E,Vegetables,137,1471.0,-1334.0
0,S17,A,Vegetables,87,816.0,-729.0
0,S17,B,Vegetables,87,765.0,-678.0
0,S17,E,Vegetables,157,1471.0,-1314.0
0,S18,A,Vegetables,82,816.0,-734.0
0,S18,B,Vegetables,72,765.0,-693.0
0,S18,E,Vegetables,155,1471.0,-1316.0
0,S19,A,Vegetables,76,816.0,-740.0
0,S19,B,Vegetables,87,765.0,-678.0
0,S19,E,Vegetables,161,1471.0,-1310.0
0,S2,A,Meat,32,180.0,-148.0
0,S2,B,Meat,33,140.0,-107.0
0,S2,C,Meat,29,176.0,-147.0
0,S2,D,Meat,32,160.0,-128.0
0,S2,E,Meat,53,291.0,-238.0
0,S20,A,Vegetables,92,816.0,-724.0
0,S20,B,Vegetables,79,765.0,-686.0
0,S20,E,Vegetables,151,1471.0,-1320.0
0,S21,A,Vegetables,81,816.0,-735.0
0,S21,B,Vegetables,67,765.0,-698.0
0,S21,E,Vegetables,144,1471.0,-1327.0
0,S22,A,Vegetables,69,816.0,-747.0
0,S22,B,Vegetables,81,765.0,-684.0
0,S22,E,Vegetables,148,1471.0,-1323.0
0,S23,A,Beverages,146,580.0,-434.0
